:START_ID,:END_ID,:TYPE
bucket|foundation_protection,l2|foundation_protection|restaurant_foundation,HAS_L2
l2|foundation_protection|restaurant_foundation,driver|foundation_protection|restaurant_foundation|speed,HAS_DRIVER_GROUP
driver|foundation_protection|restaurant_foundation|speed,topline_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p,HAS_TOPLINE_KPI
topline_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p,sub_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|oepe,HAS_SUB_KPI
topline_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p,sub_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|r2p,HAS_SUB_KPI
topline_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p,sub_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|dapart_speed,HAS_SUB_KPI
sub_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|dapart_speed,drill_down_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|dapart_speed|breakfast,HAS_DRILLDOWN_KPI
sub_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|dapart_speed,drill_down_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|dapart_speed|lunch,HAS_DRILLDOWN_KPI
sub_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|dapart_speed,drill_down_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|dapart_speed|dinner,HAS_DRILLDOWN_KPI
topline_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p,sub_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|p90_speed,HAS_SUB_KPI
sub_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|p90_speed,drill_down_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|p90_speed|oepe,HAS_DRILLDOWN_KPI
sub_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|p90_speed,drill_down_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|p90_speed|r2p,HAS_DRILLDOWN_KPI
topline_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p,sub_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|promotion_window_speed,HAS_SUB_KPI
sub_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|promotion_window_speed,drill_down_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|promotion_window_speed|lto1,HAS_DRILLDOWN_KPI
sub_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|promotion_window_speed,drill_down_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|promotion_window_speed|lto2,HAS_DRILLDOWN_KPI
sub_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|promotion_window_speed,drill_down_kpi|foundation_protection|restaurant_foundation|speed|service_time_weighted_oepe_r2p|promotion_window_speed|lto3,HAS_DRILLDOWN_KPI
bucket|foundation_protection,l2|foundation_protection|commercial_bau,HAS_L2
l2|foundation_protection|commercial_bau,driver|foundation_protection|commercial_bau|menu,HAS_DRIVER_GROUP
driver|foundation_protection|commercial_bau|menu,topline_kpi|foundation_protection|commercial_bau|menu|menu_mix_coverage_rate,HAS_TOPLINE_KPI
topline_kpi|foundation_protection|commercial_bau|menu|menu_mix_coverage_rate,sub_kpi|foundation_protection|commercial_bau|menu|menu_mix_coverage_rate|price_tier,HAS_SUB_KPI
sub_kpi|foundation_protection|commercial_bau|menu|menu_mix_coverage_rate|price_tier,drill_down_kpi|foundation_protection|commercial_bau|menu|menu_mix_coverage_rate|price_tier|core,HAS_DRILLDOWN_KPI
sub_kpi|foundation_protection|commercial_bau|menu|menu_mix_coverage_rate|price_tier,drill_down_kpi|foundation_protection|commercial_bau|menu|menu_mix_coverage_rate|price_tier|value,HAS_DRILLDOWN_KPI
